Module,BaseAddress,Offset,OffsetName,RegName,Bits,FieldName,Access,Active,Description,"DefaultValue
(After reset)"
,,974,c_exp_mean_44,ISP_EXP_MEAN_44,7:0,exp_mean_44,R,,Mean luminance value of block 44,
HIST,4001B/1D,700,c_hist_prop ,ISP_HIST_PROP,9:3,stepsize,RW,,"histogram predivider, process every (stepsize)th pixel, all other
pixels are skipped
0,1,2: not allowed
3: process every third input pixel
4: process every fourth input pixel
...
7FH: process every 127th pixel",7'd0
,,,,,2:0,hist_mode,RW,,"histogram mode, luminance is taken at ISP output before output
formatter, RGB is taken at xtalk output
7, 6: must not be used
5: Y (luminance) histogram
4: B histogram
3: G histogram
2: R histogram
1: RGB combined histogram
0: disable, no measurements",3'd0
,,704,c_hist_h_offs,ISP_HIST_H_OFFS,12:0,hist_h_offs  ,RW,,"Horizontal offset of first window in pixels.
histogram measurement is done in 25 sub-windows like the exposure measurement, if histogram
version 3 is implemented. All earlier versions use just one window.",13'd0
,,708,c_hist_v_offs,ISP_HIST_V_OFFS,12:0,hist_v_offs  ,RW,,Vertical offset of first window in pixels.,13'd0
,,70C,c_hist_h_size,ISP_HIST_H_SIZE,10:0,hist_h_size  ,RW,,"Horizontal size in pixels of one sub-window, if histogram version 3 is implemented.
hist_h_offset + hist_h_size x 5 should be less than or equal to the horizontal size of the picture, if histogram version 3 is implemented. Otherwise hist_h_size is the horizontal size of the measurement window in pixels.",11'd0
,,710,c_hist_v_size,ISP_HIST_V_SIZE,10:0,hist_v_size  ,RW,,"Vertical size in lines of one sub-window, if histogram version 3 is implemented.",11'd0
,,714,c_hist_bin_0,ISP_HIST_BIN_0,19:0,hist_bin_0,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,718,c_hist_bin_1,ISP_HIST_BIN_1,19:0,hist_bin_1,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,71C,c_hist_bin_2,ISP_HIST_BIN_2,19:0,hist_bin_2,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,720,c_hist_bin_3,ISP_HIST_BIN_3,19:0,hist_bin_3,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,724,c_hist_bin_4,ISP_HIST_BIN_4,19:0,hist_bin_4,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,728,c_hist_bin_5,ISP_HIST_BIN_5,19:0,hist_bin_5,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,72C,c_hist_bin_6,ISP_HIST_BIN_6,19:0,hist_bin_6,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,730,c_hist_bin_7,ISP_HIST_BIN_7,19:0,hist_bin_7,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,734,c_hist_bin_8,ISP_HIST_BIN_8,19:0,hist_bin_8,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,738,c_hist_bin_9,ISP_HIST_BIN_9,19:0,hist_bin_9,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,73C,c_hist_bin_10,ISP_HIST_BIN_10,19:0,hist_bin_10,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,740,c_hist_bin_11,ISP_HIST_BIN_11,19:0,hist_bin_11,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,744,c_hist_bin_12,ISP_HIST_BIN_12,19:0,hist_bin_12,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,748,c_hist_bin_13,ISP_HIST_BIN_13,19:0,hist_bin_13,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,74C,c_hist_bin_14,ISP_HIST_BIN_14,19:0,hist_bin_14,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,750,c_hist_bin_15,ISP_HIST_BIN_15,19:0,hist_bin_15,R,,measured bin count as 16-bit unsigned integer value plus 4 bit fractional part,
,,754,c_hist_weight_00to30,ISP_HIST_WEIGHT_00TO30,4:0,hist_weight_00,RW,,weighting factor for sub-window 00(the same below),5'd16
,,,,,12:8,hist_weight_10,RW,,weighting factor for sub-window 01(the same below),
,,,,,20:16,hist_weight_20,RW,,weighting factor for sub-window 02(the same below),
,,,,,28:24,hist_weight_30,RW,,weighting factor for sub-window 03(the same below),
,,758,c_hist_weight_40to21,ISP_HIST_WEIGHT_40TO21,4:0,hist_weight_40,RW,,weighting factor for sub-window 40(the same below),5'd16
,,,,,12:8,hist_weight_01,RW,,,
,,,,,20:16,hist_weight_11,RW,,,
,,,,,28:24,hist_weight_21,RW,,,
,,75C,c_hist_weight_31to12,ISP_HIST_WEIGHT_31TO12,4:0,hist_weight_31,RW,,weighting factor for sub-window 31(the same below),5'd16
,,,,,12:8,hist_weight_41,RW,,,
,,,,,20:16,hist_weight_02,RW,,,
,,,,,28:24,hist_weight_12,RW,,,
,,760,c_hist_weight_22to03,ISP_HIST_WEIGHT_22TO03,4:0,hist_weight_22,RW,,weighting factor for sub-window 22(the same below),5'd16
,,,,,12:8,hist_weight_32,RW,,,
,,,,,20:16,hist_weight_42,RW,,,
,,,,,28:24,hist_weight_03,RW,,,
,,764,c_hist_weight_13to43,ISP_HIST_WEIGHT_13TO43,4:0,hist_weight_13,RW,,weighting factor for sub-window 13(the same below),5'd16
,,,,,12:8,hist_weight_23,RW,,,
,,,,,20:16,hist_weight_33,RW,,,
,,,,,28:24,hist_weight_43,RW,,,
,,768,c_hist_weight_04to34,ISP_HIST_WEIGHT_04TO34,4:0,hist_weight_04,RW,,weighting factor for sub-window 04(the same below),5'd16
,,,,,12:8,hist_weight_14,RW,,,
,,,,,20:16,hist_weight_24,RW,,,
,,,,,28:24,hist_weight_34,RW,,,
,,76C,c_hist_weight_44,ISP_HIST_WEIGHT_44    ,4:0,hist_weight_44,RW,,weighting factor for sub-window 44(the same below),5'd16
AWB,4001B/1D,0F0,c_awb_prop,ISP_AWB_PROP,31,AWB_MEAS_MODE,RW,,"1: RGB based measurement mode
0: near white discrimination mode using YCbCr color space",
,,,,,2,AWB_MAX_EN,RW,,"1: enable Y_MAX compare
0: disable Y_MAX compare
Not valid in RGB measurement mode.",
,,,,,1:0,AWB_MODE,RW,,"AWB_MODE(1:0):
11: reserved
10: measurement of YCbCr means (AWB_MEAS_MODE = 0)
or RGB means (AWB_MEAS_MODE = 1)
01: reserved
00: no measurement",
,,0F4,c_awb_h_offs_old,ISP_AWB_H_OFFS,12:0,AWB_H_OFFS,RW,,horizontal window offset in pixel,
,,0F8,c_awb_v_offs_old,ISP_AWB_V_OFFS,12:0,AWB_V_OFFS,RW,,vertical window offset in lines,
,,0FC,c_awb_h_size_old,ISP_AWB_H_SIZE,13:0,AWB_H_SIZE,RW,,horizontal measurement window size in pixel,
,,100,c_awb_v_size_old,ISP_AWB_V_SIZE,13:0,AWB_V_SIZE,RW,,vertical measurement window size in lines,
,,104,c_awb_frames,ISP_AWB_FRAMES,2:0,AWB_FRAMES,RW,,"number of frames-1 used for mean value calculation (value of 0
means 1 frame, value of 7 means 8 frames)",
,,108,c_awb_ref,ISP_AWB_REF,15:8,AWB_REF_CR__MAX_R,RW,,"- reference Cr value for AWB regulation, target for AWB
- maximum red value, if RGB measurement mode is selected",
,,,,,7:0,AWB_REF_CB__MAX_B,RW,,"- reference Cb value for AWB regulation, target for AWB
- maximum blue value, if RGB measurement mode is selected",
,,10C,c_awb_thres,ISP_AWB_THRESH,31:24,AWB_MAX_Y,RW,,"Luminance maximum value, only consider pixels with luminance smaller than threshold for the WB measurement (must be enabled by register AWB_MODE bit AWB_MAX_EN). Not valid for RGB measurement mode.",
,,,,,23:16,AWB_MIN_Y__MAX_G,RW,,"- Luminance minimum value, only consider pixels with luminance greater than threshold for the WB measurement
- maximum green value, if RGB measurement mode is selected",
,,,,,15:8,AWB_MAX_CSUM,RW,,"Chrominance sum maximum value, only consider pixels with Cb+Cr smaller than threshold for WB measurements",
,,,,,7:0,AWB_MIN_C,RW,,"Chrominance minimum value, only consider pixels with Cb/Cr each greater than threshold value for WB measurements",
,,110,c_awb_gain_g,ISP_AWB_GAIN_G,25:16,AWB_GAIN_GR,RW,,"gain value for green component in red line 100h = 1, unsigned integer value, range 0 to 4 with 8 bit fractional part",
,,,,,9:0,AWB_GAIN_GB,RW,,"gain value for green component in blue line 100h = 1, unsigned integer value, range 0 to 4 with 8 bit fractional part",
,,114,c_awb_gain_rb,ISP_AWB_GAIN_RB,25:16,AWB_GAIN_R,RW,,"gain value for red component 100h = 1, unsigned integer value, range 0 to 4 with 8 bit fractional par",
,,,,,9:0,AWB_GAIN_B,RW,,"gain value for blue component 100h = 1, unsigned integer value, range 0 to 4 with 8 bit fractional part",
,,118,c_awb_white_cnt,ISP_AWB_WHITE_CNT,25:0,AWB_WHITE_CNT,R,,"White pixel count, number of ""white pixels"" found during last measurement, i.e. pixels included in mean value calculation",
,,11C,c_awb_mean,ISP_AWB_MEAN,23:16,AWB_MEAN_Y__G,R,,"- mean value of Y within window and frames
- mean value of green, if RGB measurement mode is selected",
,,,,,15:8,AWB_MEAN_CB__B,R,,"- mean value of Cb within window and frames
- mean value of blue, if RGB measurement mode is selected",
,,,,,7:0,AWB_MEAN_CR__R,R,,"- mean value of Cr within window and frames
- mean value of red, if RGB measurement mode is selected",
SRAM,4001B/1D,29C,c_sram_ce,ISP_NLM_SRAM_CE,1,nlm_sram_ce,RW,,,
,,,,ISP_REC_SRAM_CE,0,rec_sram_ce,RW,,,
