Module,BaseAddress,Offset,OffsetName,RegName,Bits,FieldName,Access,Active,Description,"DefaultValue
(After reset)"
,,544,c_lsc_xsize_01,ISP_LSC_XSIZE_01,9:0,x_size_0,RW,,配置图像x轴尺寸参数，分别是x0到x7，要求：尺寸必须大于7，8个x轴的参数的和必须为图像宽的一半,
,,,,,25:16,x_size_1,RW,,,
,,548,c_lsc_xsize_23,ISP_LSC_XSIZE_23,9:0,x_size_2,RW,,,
,,,,,25:16,x_size_3,RW,,,
,,54C,c_lsc_xsize_45,ISP_LSC_XSIZE_45,9:0,x_size_4,RW,,,
,,,,,25:16,x_size_5,RW,,,
,,550,c_lsc_xsize_67,ISP_LSC_XSIZE_67,9:0,x_size_6,RW,,,
,,,,,25:16,x_size_7,RW,,,
,,"554

",c_lsc_ysize_01,ISP_LSC_YSIZE_01,9:0,y_size_0,RW,,配置图像y轴尺寸参数，分别是y0到y7，要求：尺寸必须大于7，8个y轴的参数的和必须为图像高的一半,
,,,,,25:16,y_size_1,RW,,,
,,"558
",c_lsc_ysize_23,ISP_LSC_YSIZE_23,9:0,y_size_2,RW,,,
,,,,,25:16,y_size_3,RW,,,
,,55C,c_lsc_ysize_45,ISP_LSC_YSIZE_45,9:0,y_size_4,RW,,,
,,,,,25:16,y_size_5,RW,,,
,,560,c_lsc_ysize_67,ISP_LSC_YSIZE_67,9:0,y_size_6,RW,,,
,,,,,25:16,y_size_7,RW,,,
,,564,c_lsc_table_sel_idx,ISP_LSC_TABLE_SEL,0,table_sel,RW,,"0: next active tables set is table set 0.
1: next active tables set is table set 1.
Table selection is object of a shadowing mechnism. The current status is visible at ISP_LSC_STATUS::active_table.",
,,568,c_lsc_status,ISP_LSC_STATUS,1,active_table,R,,"active_table:
0: currently active tables set is table set 0
1: currently active tables set is table set 1
lsc_en_status:
0: lens shading correction is currently off
1: lens shading correction is currently on",
,,,,,0,lsc_en_status,R,,,
DPCC,4001B/1D,C00,c_dpcc_mode,ISP_DPCC_MODE,2,STAGE1_ENABLE,RW,,"1: enable stage1 *Default*
0: bypass stage1",
,,,,,1,GRAYSCALE_MODE,RW,,"1: enable gray scale data input from black and white sensors (without color filter array)
0: BAYER DATA INPUT *Default*",
,,,,,0,ISP_DPCC_enable,RW,,"1: enable DPCC
0: bypass DPCC *Default*",
,,C04,c_dpcc_out_mode,ISP_DPCC_OUTPUT_MODE,"3
",STAGE1_RB_3x3,RW,,"1: stage1 red/blue 9 pixel (3x3) output median
0: stage1 red/blue 4 or 5 pixel output median *Default*",
,,,,,2,STAGE1_G_3x3,RW,,"1: stage1 green 9 pixel (3x3) output median
0: stage1 green 4 or 5 pixel output median *Default*",
